REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/12/01 00:30:00,1482.97,44.96,TRADE
SA1,2020/12/01 01:00:00,1418.58,40.59,TRADE
SA1,2020/12/01 01:30:00,1316.56,32.63,TRADE
SA1,2020/12/01 02:00:00,1261.88,30.17,TRADE
SA1,2020/12/01 02:30:00,1212.69,30.77,TRADE
SA1,2020/12/01 03:00:00,1199.41,23.60,TRADE
SA1,2020/12/01 03:30:00,1193.08,31.67,TRADE
SA1,2020/12/01 04:00:00,1155.43,32.18,TRADE
SA1,2020/12/01 04:30:00,1080.07,33.81,TRADE
SA1,2020/12/01 05:00:00,1144.22,38.42,TRADE
SA1,2020/12/01 05:30:00,1178.76,45.70,TRADE
SA1,2020/12/01 06:00:00,1184.61,42.97,TRADE
SA1,2020/12/01 06:30:00,1225.63,35.61,TRADE
SA1,2020/12/01 07:00:00,1275.06,48.12,TRADE
SA1,2020/12/01 07:30:00,1311.84,39.50,TRADE
SA1,2020/12/01 08:00:00,1228,36.69,TRADE
SA1,2020/12/01 08:30:00,1090.19,32.93,TRADE
SA1,2020/12/01 09:00:00,1017.94,33.83,TRADE
SA1,2020/12/01 09:30:00,992.46,39.39,TRADE
SA1,2020/12/01 10:00:00,922.39,36.69,TRADE
SA1,2020/12/01 10:30:00,762.18,-137.28,TRADE
SA1,2020/12/01 11:00:00,849.1,-140.45,TRADE
SA1,2020/12/01 11:30:00,779.17,-191.71,TRADE
SA1,2020/12/01 12:00:00,699.91,-161.93,TRADE
SA1,2020/12/01 12:30:00,663.8,-265.06,TRADE
SA1,2020/12/01 13:00:00,598.94,-179.94,TRADE
SA1,2020/12/01 13:30:00,617.88,-199.29,TRADE
SA1,2020/12/01 14:00:00,592.99,-196.67,TRADE
SA1,2020/12/01 14:30:00,586.05,-149.81,TRADE
SA1,2020/12/01 15:00:00,602.1,-129.17,TRADE
SA1,2020/12/01 15:30:00,627.2,-191.16,TRADE
SA1,2020/12/01 16:00:00,709.56,-92.50,TRADE
SA1,2020/12/01 16:30:00,797.22,-40.51,TRADE
SA1,2020/12/01 17:00:00,891.32,-77.41,TRADE
SA1,2020/12/01 17:30:00,1037.38,-40.23,TRADE
SA1,2020/12/01 18:00:00,1135.73,-3.63,TRADE
SA1,2020/12/01 18:30:00,1076.5,24.38,TRADE
SA1,2020/12/01 19:00:00,1087.73,32.96,TRADE
SA1,2020/12/01 19:30:00,1132.36,25.18,TRADE
SA1,2020/12/01 20:00:00,1166.38,36.60,TRADE
SA1,2020/12/01 20:30:00,1183.49,35.19,TRADE
SA1,2020/12/01 21:00:00,1170.38,34.57,TRADE
SA1,2020/12/01 21:30:00,1147.49,35.37,TRADE
SA1,2020/12/01 22:00:00,1126.65,29.74,TRADE
SA1,2020/12/01 22:30:00,1112.89,37.27,TRADE
SA1,2020/12/01 23:00:00,1086.33,16.87,TRADE
SA1,2020/12/01 23:30:00,1052.81,33.48,TRADE
SA1,2020/12/02 00:00:00,1200.27,38.54,TRADE
SA1,2020/12/02 00:30:00,1201.03,20.74,TRADE
SA1,2020/12/02 01:00:00,1162.84,17.40,TRADE
SA1,2020/12/02 01:30:00,1087.62,30.15,TRADE
SA1,2020/12/02 02:00:00,1038.43,21.95,TRADE
SA1,2020/12/02 02:30:00,1025.31,17.52,TRADE
SA1,2020/12/02 03:00:00,1025.85,34.49,TRADE
SA1,2020/12/02 03:30:00,996,24.27,TRADE
SA1,2020/12/02 04:00:00,1009.73,38.65,TRADE
SA1,2020/12/02 04:30:00,1032.41,51.38,TRADE
SA1,2020/12/02 05:00:00,1076.38,58.41,TRADE
SA1,2020/12/02 05:30:00,1125.19,54.19,TRADE
SA1,2020/12/02 06:00:00,1196.51,60.10,TRADE
SA1,2020/12/02 06:30:00,1188.59,59.41,TRADE
SA1,2020/12/02 07:00:00,1209.73,55.01,TRADE
SA1,2020/12/02 07:30:00,1205.02,39.05,TRADE
SA1,2020/12/02 08:00:00,1122.51,33.71,TRADE
SA1,2020/12/02 08:30:00,1033.04,50.18,TRADE
SA1,2020/12/02 09:00:00,952.73,35.98,TRADE
SA1,2020/12/02 09:30:00,824.11,33.47,TRADE
SA1,2020/12/02 10:00:00,679.09,34.72,TRADE
SA1,2020/12/02 10:30:00,620.36,31.90,TRADE
SA1,2020/12/02 11:00:00,599.06,32.64,TRADE
SA1,2020/12/02 11:30:00,544.49,35.33,TRADE
SA1,2020/12/02 12:00:00,512.39,38.41,TRADE
SA1,2020/12/02 12:30:00,486.89,36.53,TRADE
SA1,2020/12/02 13:00:00,473.23,33.56,TRADE
SA1,2020/12/02 13:30:00,477.93,38.26,TRADE
SA1,2020/12/02 14:00:00,483.9,32.02,TRADE
SA1,2020/12/02 14:30:00,496.72,31.76,TRADE
SA1,2020/12/02 15:00:00,520.14,48.51,TRADE
SA1,2020/12/02 15:30:00,555.51,42.35,TRADE
SA1,2020/12/02 16:00:00,630.65,47.62,TRADE
SA1,2020/12/02 16:30:00,708.33,34.90,TRADE
SA1,2020/12/02 17:00:00,831.61,31.87,TRADE
SA1,2020/12/02 17:30:00,944.06,36.52,TRADE
SA1,2020/12/02 18:00:00,1057.14,43.47,TRADE
SA1,2020/12/02 18:30:00,1138.13,48.62,TRADE
SA1,2020/12/02 19:00:00,1223.89,64.37,TRADE
SA1,2020/12/02 19:30:00,1263.59,52.71,TRADE
SA1,2020/12/02 20:00:00,1287.01,50.06,TRADE
SA1,2020/12/02 20:30:00,1306.8,55.75,TRADE
SA1,2020/12/02 21:00:00,1289.71,46.39,TRADE
SA1,2020/12/02 21:30:00,1268.86,43.36,TRADE
SA1,2020/12/02 22:00:00,1250.3,45.02,TRADE
SA1,2020/12/02 22:30:00,1213.26,55.52,TRADE
SA1,2020/12/02 23:00:00,1172.69,49.17,TRADE
SA1,2020/12/02 23:30:00,1178.94,57.24,TRADE
SA1,2020/12/03 00:00:00,1334.6,58.03,TRADE
SA1,2020/12/03 00:30:00,1318.29,52.79,TRADE
SA1,2020/12/03 01:00:00,1279.03,56.13,TRADE
SA1,2020/12/03 01:30:00,1200.2,50.63,TRADE
SA1,2020/12/03 02:00:00,1125.15,41.29,TRADE
SA1,2020/12/03 02:30:00,1095.74,39.12,TRADE
SA1,2020/12/03 03:00:00,1092.6,40.74,TRADE
SA1,2020/12/03 03:30:00,1084.78,43.13,TRADE
SA1,2020/12/03 04:00:00,1094.4,42.57,TRADE
SA1,2020/12/03 04:30:00,1100.48,45.61,TRADE
SA1,2020/12/03 05:00:00,1131.17,56.31,TRADE
SA1,2020/12/03 05:30:00,1168.59,56.86,TRADE
SA1,2020/12/03 06:00:00,1221.3,57.92,TRADE
SA1,2020/12/03 06:30:00,1237.29,63.84,TRADE
SA1,2020/12/03 07:00:00,1234.97,62.77,TRADE
SA1,2020/12/03 07:30:00,1193.81,69.95,TRADE
SA1,2020/12/03 08:00:00,1092.61,66.64,TRADE
SA1,2020/12/03 08:30:00,961.34,56.57,TRADE
SA1,2020/12/03 09:00:00,867.66,47.81,TRADE
SA1,2020/12/03 09:30:00,770.43,57.14,TRADE
SA1,2020/12/03 10:00:00,701.67,48.76,TRADE
SA1,2020/12/03 10:30:00,684.7,200.49,TRADE
SA1,2020/12/03 11:00:00,596.96,42.80,TRADE
SA1,2020/12/03 11:30:00,567.79,47.35,TRADE
SA1,2020/12/03 12:00:00,563.95,49.69,TRADE
SA1,2020/12/03 12:30:00,573.12,37.89,TRADE
SA1,2020/12/03 13:00:00,585.92,37.60,TRADE
SA1,2020/12/03 13:30:00,600.12,35.36,TRADE
SA1,2020/12/03 14:00:00,630.52,37.55,TRADE
SA1,2020/12/03 14:30:00,665.37,34.19,TRADE
SA1,2020/12/03 15:00:00,713.84,35.74,TRADE
SA1,2020/12/03 15:30:00,775.53,41.95,TRADE
SA1,2020/12/03 16:00:00,875.12,36.60,TRADE
SA1,2020/12/03 16:30:00,981.39,43.22,TRADE
SA1,2020/12/03 17:00:00,1099.79,52.94,TRADE
SA1,2020/12/03 17:30:00,1239.9,57.23,TRADE
SA1,2020/12/03 18:00:00,1363.33,69.85,TRADE
SA1,2020/12/03 18:30:00,1445.85,191.09,TRADE
SA1,2020/12/03 19:00:00,1486.53,155.60,TRADE
SA1,2020/12/03 19:30:00,1504.8,63.07,TRADE
SA1,2020/12/03 20:00:00,1516.06,63.37,TRADE
SA1,2020/12/03 20:30:00,1524.62,97.64,TRADE
SA1,2020/12/03 21:00:00,1475.75,53.95,TRADE
SA1,2020/12/03 21:30:00,1434.17,47.40,TRADE
SA1,2020/12/03 22:00:00,1411,50.63,TRADE
SA1,2020/12/03 22:30:00,1363.2,42.02,TRADE
SA1,2020/12/03 23:00:00,1359.09,41.10,TRADE
SA1,2020/12/03 23:30:00,1327.22,45.05,TRADE
SA1,2020/12/04 00:00:00,1469.38,49.89,TRADE
SA1,2020/12/04 00:30:00,1441.43,66.23,TRADE
SA1,2020/12/04 01:00:00,1385.31,62.01,TRADE
SA1,2020/12/04 01:30:00,1310.06,51.32,TRADE
SA1,2020/12/04 02:00:00,1242.35,59.60,TRADE
SA1,2020/12/04 02:30:00,1219.47,57.19,TRADE
SA1,2020/12/04 03:00:00,1189.97,63.20,TRADE
SA1,2020/12/04 03:30:00,1180.37,55.76,TRADE
SA1,2020/12/04 04:00:00,1181.68,54.41,TRADE
SA1,2020/12/04 04:30:00,1193.21,53.40,TRADE
SA1,2020/12/04 05:00:00,1227.77,45.41,TRADE
SA1,2020/12/04 05:30:00,1274.93,53.21,TRADE
SA1,2020/12/04 06:00:00,1306.46,48.75,TRADE
SA1,2020/12/04 06:30:00,1307.75,44.63,TRADE
SA1,2020/12/04 07:00:00,1270.08,55.41,TRADE
SA1,2020/12/04 07:30:00,1227.3,49.67,TRADE
SA1,2020/12/04 08:00:00,1118.31,38.57,TRADE
SA1,2020/12/04 08:30:00,1019.53,34.07,TRADE
SA1,2020/12/04 09:00:00,895.05,33.02,TRADE
SA1,2020/12/04 09:30:00,821.53,31.41,TRADE
