REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/08/01 00:30:00,1485.92,54.70,TRADE
SA1,2020/08/01 01:00:00,1409.45,46.97,TRADE
SA1,2020/08/01 01:30:00,1302.79,53.42,TRADE
SA1,2020/08/01 02:00:00,1210.95,46.26,TRADE
SA1,2020/08/01 02:30:00,1155.39,46.63,TRADE
SA1,2020/08/01 03:00:00,1106.7,45.11,TRADE
SA1,2020/08/01 03:30:00,1052.52,40.34,TRADE
SA1,2020/08/01 04:00:00,1009.21,40.27,TRADE
SA1,2020/08/01 04:30:00,994.77,36.01,TRADE
SA1,2020/08/01 05:00:00,986.05,33.88,TRADE
SA1,2020/08/01 05:30:00,994.43,32.30,TRADE
SA1,2020/08/01 06:00:00,1007.12,33.05,TRADE
SA1,2020/08/01 06:30:00,1030.38,33.79,TRADE
SA1,2020/08/01 07:00:00,1074.02,42.43,TRADE
SA1,2020/08/01 07:30:00,1115.17,50.18,TRADE
SA1,2020/08/01 08:00:00,1179.33,51.19,TRADE
SA1,2020/08/01 08:30:00,1224.49,40.17,TRADE
SA1,2020/08/01 09:00:00,1219.2,31.92,TRADE
SA1,2020/08/01 09:30:00,1134.92,16.74,TRADE
SA1,2020/08/01 10:00:00,1003.05,30.93,TRADE
SA1,2020/08/01 10:30:00,896.58,29.51,TRADE
SA1,2020/08/01 11:00:00,815.02,-25.70,TRADE
SA1,2020/08/01 11:30:00,752.99,-31.68,TRADE
SA1,2020/08/01 12:00:00,671.8,-32.35,TRADE
SA1,2020/08/01 12:30:00,635.43,-32.35,TRADE
SA1,2020/08/01 13:00:00,616.37,-31.68,TRADE
SA1,2020/08/01 13:30:00,591.78,-20.81,TRADE
SA1,2020/08/01 14:00:00,581.35,-8.75,TRADE
SA1,2020/08/01 14:30:00,591.58,-3.10,TRADE
SA1,2020/08/01 15:00:00,627.13,11.12,TRADE
SA1,2020/08/01 15:30:00,666.42,25.81,TRADE
SA1,2020/08/01 16:00:00,730.87,33.09,TRADE
SA1,2020/08/01 16:30:00,881.6,49.81,TRADE
SA1,2020/08/01 17:00:00,1043.09,86.06,TRADE
SA1,2020/08/01 17:30:00,1260.91,64.29,TRADE
SA1,2020/08/01 18:00:00,1454.58,60.51,TRADE
SA1,2020/08/01 18:30:00,1619.38,64.19,TRADE
SA1,2020/08/01 19:00:00,1734.39,70.58,TRADE
SA1,2020/08/01 19:30:00,1735.32,65.59,TRADE
SA1,2020/08/01 20:00:00,1745.2,72.74,TRADE
SA1,2020/08/01 20:30:00,1718.67,80.78,TRADE
SA1,2020/08/01 21:00:00,1693.63,76.80,TRADE
SA1,2020/08/01 21:30:00,1680.17,61.82,TRADE
SA1,2020/08/01 22:00:00,1611.51,52.70,TRADE
SA1,2020/08/01 22:30:00,1552.65,56.32,TRADE
SA1,2020/08/01 23:00:00,1495.97,54.50,TRADE
