REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/06/01 00:30:00,1450.49,25.51,TRADE
SA1,2020/06/01 01:00:00,1359.81,25.76,TRADE
SA1,2020/06/01 01:30:00,1301.41,23.98,TRADE
SA1,2020/06/01 02:00:00,1196.85,13.86,TRADE
SA1,2020/06/01 02:30:00,1150.11,13.45,TRADE
SA1,2020/06/01 03:00:00,1105.57,-2.26,TRADE
SA1,2020/06/01 03:30:00,1068.85,-0.34,TRADE
SA1,2020/06/01 04:00:00,1044.14,0,TRADE
SA1,2020/06/01 04:30:00,1035.01,-0.24,TRADE
SA1,2020/06/01 05:00:00,1027.58,2.43,TRADE
SA1,2020/06/01 05:30:00,1036.62,9.26,TRADE
SA1,2020/06/01 06:00:00,1055.2,7.85,TRADE
SA1,2020/06/01 06:30:00,1085.09,23.80,TRADE
SA1,2020/06/01 07:00:00,1195.01,32.01,TRADE
SA1,2020/06/01 07:30:00,1328.08,36.04,TRADE
SA1,2020/06/01 08:00:00,1470.86,41.76,TRADE
SA1,2020/06/01 08:30:00,1596.13,45.31,TRADE
SA1,2020/06/01 09:00:00,1596.89,57.61,TRADE
SA1,2020/06/01 09:30:00,1575.21,66.31,TRADE
SA1,2020/06/01 10:00:00,1462.18,50.93,TRADE
SA1,2020/06/01 10:30:00,1339.66,36.82,TRADE
SA1,2020/06/01 11:00:00,1266.06,34.43,TRADE
SA1,2020/06/01 11:30:00,1224.02,32.40,TRADE
SA1,2020/06/01 12:00:00,1189.81,32.71,TRADE
SA1,2020/06/01 12:30:00,1100.5,31.08,TRADE
SA1,2020/06/01 13:00:00,1068.62,31.38,TRADE
SA1,2020/06/01 13:30:00,1074.32,61.85,TRADE
SA1,2020/06/01 14:00:00,1093.32,32.06,TRADE
SA1,2020/06/01 14:30:00,1116.21,35.11,TRADE
SA1,2020/06/01 15:00:00,1165.17,35.59,TRADE
SA1,2020/06/01 15:30:00,1241.15,34.66,TRADE
SA1,2020/06/01 16:00:00,1318.52,-7.22,TRADE
SA1,2020/06/01 16:30:00,1461.74,31.03,TRADE
SA1,2020/06/01 17:00:00,1564.62,34.79,TRADE
SA1,2020/06/01 17:30:00,1791.9,35.60,TRADE
SA1,2020/06/01 18:00:00,1932.8,42.06,TRADE
SA1,2020/06/01 18:30:00,2097.71,45.61,TRADE
SA1,2020/06/01 19:00:00,2094.72,42.82,TRADE
SA1,2020/06/01 19:30:00,2037.32,40.46,TRADE
SA1,2020/06/01 20:00:00,1988.14,40.95,TRADE
SA1,2020/06/01 20:30:00,1936.96,44.18,TRADE
SA1,2020/06/01 21:00:00,1871.62,42.02,TRADE
SA1,2020/06/01 21:30:00,1791.6,41.18,TRADE
SA1,2020/06/01 22:00:00,1750.62,41.03,TRADE
SA1,2020/06/01 22:30:00,1622.49,37.89,TRADE
SA1,2020/06/01 23:00:00,1557.87,36.15,TRADE
SA1,2020/06/01 23:30:00,1482.36,37.99,TRADE
SA1,2020/06/02 00:00:00,1651.32,40.22,TRADE
SA1,2020/06/02 00:30:00,1601.5,36.89,TRADE
SA1,2020/06/02 01:00:00,1550.4,35.89,TRADE
SA1,2020/06/02 01:30:00,1465.85,35.11,TRADE
SA1,2020/06/02 02:00:00,1407.84,29.09,TRADE
SA1,2020/06/02 02:30:00,1356.53,25.24,TRADE
SA1,2020/06/02 03:00:00,1300.61,21.01,TRADE
SA1,2020/06/02 03:30:00,1239.4,7.57,TRADE
SA1,2020/06/02 04:00:00,1176.49,4.73,TRADE
SA1,2020/06/02 04:30:00,1180.97,11.43,TRADE
SA1,2020/06/02 05:00:00,1139.98,4.24,TRADE
SA1,2020/06/02 05:30:00,1160.25,5.40,TRADE
SA1,2020/06/02 06:00:00,1187.84,12.74,TRADE
SA1,2020/06/02 06:30:00,1241.09,29.22,TRADE
SA1,2020/06/02 07:00:00,1342.95,38.09,TRADE
SA1,2020/06/02 07:30:00,1453.33,40.20,TRADE
SA1,2020/06/02 08:00:00,1582.39,63.71,TRADE
SA1,2020/06/02 08:30:00,1662.88,64.41,TRADE
SA1,2020/06/02 09:00:00,1668.78,50.49,TRADE
SA1,2020/06/02 09:30:00,1614.19,47.17,TRADE
SA1,2020/06/02 10:00:00,1568.47,44.13,TRADE
SA1,2020/06/02 10:30:00,1484.04,48.15,TRADE
SA1,2020/06/02 11:00:00,1443.85,44.93,TRADE
SA1,2020/06/02 11:30:00,1325.66,36.66,TRADE
SA1,2020/06/02 12:00:00,1270.21,33.16,TRADE
SA1,2020/06/02 12:30:00,1202.68,30.76,TRADE
SA1,2020/06/02 13:00:00,1090.95,26.07,TRADE
SA1,2020/06/02 13:30:00,1080.81,29.87,TRADE
SA1,2020/06/02 14:00:00,1106.68,31.41,TRADE
SA1,2020/06/02 14:30:00,1131.01,31.29,TRADE
SA1,2020/06/02 15:00:00,1239.52,31.92,TRADE
SA1,2020/06/02 15:30:00,1308.35,34.07,TRADE
SA1,2020/06/02 16:00:00,1388.1,33.16,TRADE
SA1,2020/06/02 16:30:00,1472.94,34.68,TRADE
SA1,2020/06/02 17:00:00,1562.4,47.29,TRADE
SA1,2020/06/02 17:30:00,1695.78,60.98,TRADE
SA1,2020/06/02 18:00:00,1819.82,57.46,TRADE
SA1,2020/06/02 18:30:00,1948.14,60.26,TRADE
SA1,2020/06/02 19:00:00,1968.23,45.24,TRADE
SA1,2020/06/02 19:30:00,1926.68,41.04,TRADE
SA1,2020/06/02 20:00:00,1861.21,38.56,TRADE
SA1,2020/06/02 20:30:00,1821.1,37.36,TRADE
SA1,2020/06/02 21:00:00,1764.57,36.17,TRADE
SA1,2020/06/02 21:30:00,1715.49,36.54,TRADE
SA1,2020/06/02 22:00:00,1640.04,34.92,TRADE
SA1,2020/06/02 22:30:00,1546.63,33.55,TRADE
SA1,2020/06/02 23:00:00,1477.71,31.12,TRADE
SA1,2020/06/02 23:30:00,1401.7,32.19,TRADE
SA1,2020/06/03 00:00:00,1579.3,37.09,TRADE
SA1,2020/06/03 00:30:00,1525.38,36.27,TRADE
SA1,2020/06/03 01:00:00,1503.92,35.72,TRADE
SA1,2020/06/03 01:30:00,1385.41,31.25,TRADE
SA1,2020/06/03 02:00:00,1345.49,29.52,TRADE
SA1,2020/06/03 02:30:00,1251.71,22.71,TRADE
SA1,2020/06/03 03:00:00,1233.36,8.76,TRADE
SA1,2020/06/03 03:30:00,1192.96,24.12,TRADE
SA1,2020/06/03 04:00:00,1175.05,22.69,TRADE
SA1,2020/06/03 04:30:00,1165.37,26.83,TRADE
SA1,2020/06/03 05:00:00,1142.37,20.96,TRADE
SA1,2020/06/03 05:30:00,1150.88,27.66,TRADE
SA1,2020/06/03 06:00:00,1198.99,32.96,TRADE
SA1,2020/06/03 06:30:00,1271.87,38.60,TRADE
SA1,2020/06/03 07:00:00,1364.65,43.78,TRADE
SA1,2020/06/03 07:30:00,1446.67,48.59,TRADE
SA1,2020/06/03 08:00:00,1554.51,60.67,TRADE
SA1,2020/06/03 08:30:00,1646.19,66.57,TRADE
SA1,2020/06/03 09:00:00,1631.78,49.29,TRADE
SA1,2020/06/03 09:30:00,1581.19,45.62,TRADE
SA1,2020/06/03 10:00:00,1579.97,46.99,TRADE
SA1,2020/06/03 10:30:00,1482.02,42.24,TRADE
SA1,2020/06/03 11:00:00,1423.1,40.64,TRADE
SA1,2020/06/03 11:30:00,1359.25,38.47,TRADE
SA1,2020/06/03 12:00:00,1334.87,37.82,TRADE
SA1,2020/06/03 12:30:00,1285.88,37.97,TRADE
SA1,2020/06/03 13:00:00,1255.71,35.11,TRADE
SA1,2020/06/03 13:30:00,1196.58,37.82,TRADE
SA1,2020/06/03 14:00:00,1180.41,40.84,TRADE
SA1,2020/06/03 14:30:00,1176.28,46,TRADE
SA1,2020/06/03 15:00:00,1188.89,46.91,TRADE
SA1,2020/06/03 15:30:00,1209.08,46.04,TRADE
SA1,2020/06/03 16:00:00,1273.94,50.26,TRADE
SA1,2020/06/03 16:30:00,1364.45,50.65,TRADE
SA1,2020/06/03 17:00:00,1518.13,78.59,TRADE
SA1,2020/06/03 17:30:00,1690.96,76.94,TRADE
SA1,2020/06/03 18:00:00,1857.14,151.21,TRADE
SA1,2020/06/03 18:30:00,2000.43,89.53,TRADE
SA1,2020/06/03 19:00:00,2037.17,68.82,TRADE
SA1,2020/06/03 19:30:00,2029.81,59.83,TRADE
