REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2020/03/01 00:30:00,1330.34,300.50,TRADE
SA1,2020/03/01 01:00:00,1261.7,263.67,TRADE
SA1,2020/03/01 01:30:00,1182.48,155.33,TRADE
SA1,2020/03/01 02:00:00,1129.3,111.90,TRADE
SA1,2020/03/01 02:30:00,1116.27,105,TRADE
SA1,2020/03/01 03:00:00,1120.69,85.19,TRADE
SA1,2020/03/01 03:30:00,1090.33,66.99,TRADE
SA1,2020/03/01 04:00:00,1059.35,62.70,TRADE
SA1,2020/03/01 04:30:00,1038.07,50.50,TRADE
SA1,2020/03/01 05:00:00,1034.28,40.89,TRADE
SA1,2020/03/01 05:30:00,1030.16,35.46,TRADE
SA1,2020/03/01 06:00:00,1028.5,29.65,TRADE
SA1,2020/03/01 06:30:00,1037.04,28.28,TRADE
SA1,2020/03/01 07:00:00,1064.51,24.88,TRADE
SA1,2020/03/01 07:30:00,1067.63,-78.61,TRADE
SA1,2020/03/01 08:00:00,1043.79,10.77,TRADE
SA1,2020/03/01 08:30:00,1008.87,12.90,TRADE
SA1,2020/03/01 09:00:00,1008.9,15.59,TRADE
SA1,2020/03/01 09:30:00,938.5,-57.59,TRADE
SA1,2020/03/01 10:00:00,918.55,-40.49,TRADE
SA1,2020/03/01 10:30:00,1000.24,-36.88,TRADE
SA1,2020/03/01 11:00:00,988.36,-168.58,TRADE
SA1,2020/03/01 11:30:00,944.36,-138.59,TRADE
SA1,2020/03/01 12:00:00,936.69,-42.96,TRADE
SA1,2020/03/01 12:30:00,1039.88,-44.17,TRADE
SA1,2020/03/01 13:00:00,981.86,-32.50,TRADE
SA1,2020/03/01 13:30:00,1009.1,-80.32,TRADE
SA1,2020/03/01 14:00:00,1084.8,23.35,TRADE
SA1,2020/03/01 14:30:00,1100.6,37.40,TRADE
SA1,2020/03/01 15:00:00,1140.07,48.65,TRADE
SA1,2020/03/01 15:30:00,1157.4,46.98,TRADE
SA1,2020/03/01 16:00:00,1178.5,31.57,TRADE
SA1,2020/03/01 16:30:00,1229.58,12.91,TRADE
SA1,2020/03/01 17:00:00,1305.04,50.62,TRADE
SA1,2020/03/01 17:30:00,1325.68,39.61,TRADE
SA1,2020/03/01 18:00:00,1331.96,8.38,TRADE
SA1,2020/03/01 18:30:00,1324.35,-8.69,TRADE
SA1,2020/03/01 19:00:00,1376.22,-129.57,TRADE
SA1,2020/03/01 19:30:00,1401.34,5.73,TRADE
SA1,2020/03/01 20:00:00,1364.66,25.31,TRADE
SA1,2020/03/01 20:30:00,1319.47,50.46,TRADE
SA1,2020/03/01 21:00:00,1231.86,42.53,TRADE
SA1,2020/03/01 21:30:00,1214.29,-54.32,TRADE
SA1,2020/03/01 22:00:00,1239.05,-101.51,TRADE
SA1,2020/03/01 22:30:00,1183.53,-132.64,TRADE
SA1,2020/03/01 23:00:00,1090.1,-78.12,TRADE
SA1,2020/03/01 23:30:00,1080.31,30.57,TRADE
SA1,2020/03/02 00:00:00,1194.95,41.76,TRADE
SA1,2020/03/02 00:30:00,1169.24,38.59,TRADE
SA1,2020/03/02 01:00:00,1131.8,27.05,TRADE
SA1,2020/03/02 01:30:00,1037.59,20.17,TRADE
SA1,2020/03/02 02:00:00,991.71,47.54,TRADE
SA1,2020/03/02 02:30:00,989.37,33.71,TRADE
SA1,2020/03/02 03:00:00,995.31,87.52,TRADE
SA1,2020/03/02 03:30:00,953.52,47.63,TRADE
SA1,2020/03/02 04:00:00,941.72,26.48,TRADE
SA1,2020/03/02 04:30:00,955.65,34.33,TRADE
SA1,2020/03/02 05:00:00,1005.76,42.10,TRADE
SA1,2020/03/02 05:30:00,1056.51,48.81,TRADE
SA1,2020/03/02 06:00:00,1125.22,47.38,TRADE
SA1,2020/03/02 06:30:00,1206.98,54.70,TRADE
SA1,2020/03/02 07:00:00,1269.14,54.67,TRADE
SA1,2020/03/02 07:30:00,1293.63,46.57,TRADE
SA1,2020/03/02 08:00:00,1215.39,38.61,TRADE
SA1,2020/03/02 08:30:00,1147.89,-115.41,TRADE
SA1,2020/03/02 09:00:00,1130.47,-171.01,TRADE
SA1,2020/03/02 09:30:00,1054.69,-144.68,TRADE
SA1,2020/03/02 10:00:00,992.22,-65.13,TRADE
SA1,2020/03/02 10:30:00,947,-50.73,TRADE
SA1,2020/03/02 11:00:00,891.01,-107.90,TRADE
SA1,2020/03/02 11:30:00,846.05,-90.04,TRADE
SA1,2020/03/02 12:00:00,794.88,-35.73,TRADE
SA1,2020/03/02 12:30:00,754.8,-69.85,TRADE
SA1,2020/03/02 13:00:00,696.24,94.71,TRADE
SA1,2020/03/02 13:30:00,673.74,104.06,TRADE
SA1,2020/03/02 14:00:00,693.04,5063.20,TRADE
SA1,2020/03/02 14:30:00,586.09,7026.84,TRADE
SA1,2020/03/02 15:00:00,636.97,-299.93,TRADE
SA1,2020/03/02 15:30:00,795.66,53.32,TRADE
SA1,2020/03/02 16:00:00,843.57,95.26,TRADE
SA1,2020/03/02 16:30:00,997.27,300,TRADE
SA1,2020/03/02 17:00:00,1044.31,279.66,TRADE
SA1,2020/03/02 17:30:00,1066.94,50.73,TRADE
SA1,2020/03/02 18:00:00,1140.38,63.83,TRADE
SA1,2020/03/02 18:30:00,1202.08,64.82,TRADE
SA1,2020/03/02 19:00:00,1301.94,87.08,TRADE
SA1,2020/03/02 19:30:00,1353.89,67.84,TRADE
SA1,2020/03/02 20:00:00,1379.94,82.32,TRADE
SA1,2020/03/02 20:30:00,1341.85,55.73,TRADE
SA1,2020/03/02 21:00:00,1291.33,51.02,TRADE
SA1,2020/03/02 21:30:00,1286.11,36.75,TRADE
SA1,2020/03/02 22:00:00,1281.16,0.47,TRADE
SA1,2020/03/02 22:30:00,1232,-60.65,TRADE
SA1,2020/03/02 23:00:00,1229.54,37.73,TRADE
SA1,2020/03/02 23:30:00,1214.69,-33.83,TRADE
SA1,2020/03/03 00:00:00,1355.09,37.94,TRADE
SA1,2020/03/03 00:30:00,1339.09,-61.02,TRADE
SA1,2020/03/03 01:00:00,1265.43,-101.06,TRADE
SA1,2020/03/03 01:30:00,1193.2,-137.04,TRADE
SA1,2020/03/03 02:00:00,1131.61,-61.07,TRADE
SA1,2020/03/03 02:30:00,1122.49,-42.74,TRADE
SA1,2020/03/03 03:00:00,1108.34,-33.31,TRADE
SA1,2020/03/03 03:30:00,1086.53,-42.75,TRADE
SA1,2020/03/03 04:00:00,1065.07,-186.53,TRADE
SA1,2020/03/03 04:30:00,1100.36,-39.42,TRADE
SA1,2020/03/03 05:00:00,1150.55,-30.40,TRADE
